"order";"family";"feature";"data_set";"tolerance"
52;"Diagnostics-resegmented ROI";"Int. mask bounding box dimension z";"case_1";0
52;"Diagnostics-resegmented ROI";"Int. mask bounding box dimension z";"case_2";0
52;"Diagnostics-resegmented ROI";"Int. mask bounding box dimension z";"case_3";0.2
52;"Diagnostics-resegmented ROI";"Int. mask bounding box dimension z";"case_4";0.2
52;"Diagnostics-resegmented ROI";"Int. mask bounding box dimension z";"case_5";0.2
53;"Diagnostics-resegmented ROI";"Morph. mask bounding box dimension x";"case_1";0.15
53;"Diagnostics-resegmented ROI";"Morph. mask bounding box dimension x";"case_2";0.15
53;"Diagnostics-resegmented ROI";"Morph. mask bounding box dimension x";"case_3";0.15
53;"Diagnostics-resegmented ROI";"Morph. mask bounding box dimension x";"case_4";0.15
53;"Diagnostics-resegmented ROI";"Morph. mask bounding box dimension x";"case_5";0.15
54;"Diagnostics-resegmented ROI";"Morph. mask bounding box dimension y";"case_1";0.15
54;"Diagnostics-resegmented ROI";"Morph. mask bounding box dimension y";"case_2";0.2
54;"Diagnostics-resegmented ROI";"Morph. mask bounding box dimension y";"case_3";0.1625
54;"Diagnostics-resegmented ROI";"Morph. mask bounding box dimension y";"case_4";0.1625
54;"Diagnostics-resegmented ROI";"Morph. mask bounding box dimension y";"case_5";0.1625
55;"Diagnostics-resegmented ROI";"Morph. mask bounding box dimension z";"case_1";0
55;"Diagnostics-resegmented ROI";"Morph. mask bounding box dimension z";"case_2";0
55;"Diagnostics-resegmented ROI";"Morph. mask bounding box dimension z";"case_3";0.2
55;"Diagnostics-resegmented ROI";"Morph. mask bounding box dimension z";"case_4";0.2
55;"Diagnostics-resegmented ROI";"Morph. mask bounding box dimension z";"case_5";0.2
56;"Diagnostics-resegmented ROI";"Int. mask voxel count";"case_1";210.325
56;"Diagnostics-resegmented ROI";"Int. mask voxel count";"case_2";209.8
56;"Diagnostics-resegmented ROI";"Int. mask voxel count";"case_3";674.275
56;"Diagnostics-resegmented ROI";"Int. mask voxel count";"case_4";725.5125
56;"Diagnostics-resegmented ROI";"Int. mask voxel count";"case_5";485.775
57;"Diagnostics-resegmented ROI";"Morph. mask voxel count";"case_1";296
57;"Diagnostics-resegmented ROI";"Morph. mask voxel count";"case_2";295.125
57;"Diagnostics-resegmented ROI";"Morph. mask voxel count";"case_3";675.1875
57;"Diagnostics-resegmented ROI";"Morph. mask voxel count";"case_4";675.1875
57;"Diagnostics-resegmented ROI";"Morph. mask voxel count";"case_5";675.1875
58;"Diagnostics-resegmented ROI";"Int. mask mean intensity";"case_1";0.964243596792221
58;"Diagnostics-resegmented ROI";"Int. mask mean intensity";"case_2";0.965288218855858
58;"Diagnostics-resegmented ROI";"Int. mask mean intensity";"case_3";2.74878039360046
58;"Diagnostics-resegmented ROI";"Int. mask mean intensity";"case_4";3.79409214258194
58;"Diagnostics-resegmented ROI";"Int. mask mean intensity";"case_5";0.997900176048279
59;"Diagnostics-resegmented ROI";"Int. mask minimum intensity";"case_1";0
59;"Diagnostics-resegmented ROI";"Int. mask minimum intensity";"case_2";0
59;"Diagnostics-resegmented ROI";"Int. mask minimum intensity";"case_3";3.1875
59;"Diagnostics-resegmented ROI";"Int. mask minimum intensity";"case_4";11.2
59;"Diagnostics-resegmented ROI";"Int. mask minimum intensity";"case_5";5.15
60;"Diagnostics-resegmented ROI";"Int. mask maximum intensity";"case_1";7.8625
60;"Diagnostics-resegmented ROI";"Int. mask maximum intensity";"case_2";8.0375
60;"Diagnostics-resegmented ROI";"Int. mask maximum intensity";"case_3";10.05
60;"Diagnostics-resegmented ROI";"Int. mask maximum intensity";"case_4";20.375
60;"Diagnostics-resegmented ROI";"Int. mask maximum intensity";"case_5";7.575
61;"Morphology";"Volume";"case_1";3538.7625
61;"Morphology";"Volume";"case_2";3540.5875
61;"Morphology";"Volume";"case_3";5400.125
61;"Morphology";"Volume";"case_4";5400.125
61;"Morphology";"Volume";"case_5";5400.125
62;"Morphology";"Approximate volume";"case_1";3538.78358167982
62;"Morphology";"Approximate volume";"case_2";3541.5
62;"Morphology";"Approximate volume";"case_3";5401.5
62;"Morphology";"Approximate volume";"case_4";5401.5
62;"Morphology";"Approximate volume";"case_5";5401.5
63;"Morphology";"Surface area";"case_1";192.292317912025
63;"Morphology";"Surface area";"case_2";192.366187221311
63;"Morphology";"Surface area";"case_3";247.628055507634
63;"Morphology";"Surface area";"case_4";247.628055507634
63;"Morphology";"Surface area";"case_5";247.628055507634
64;"Morphology";"Surface to volume ratio";"case_1";0.000376343289192904
64;"Morphology";"Surface to volume ratio";"case_2";0.000370136326227555
64;"Morphology";"Surface to volume ratio";"case_3";0.00062314524968098
64;"Morphology";"Surface to volume ratio";"case_4";0.00062314524968098
64;"Morphology";"Surface to volume ratio";"case_5";0.00062314524968098
65;"Morphology";"Compactness 1";"case_1";3.48237417443734e-05
65;"Morphology";"Compactness 1";"case_2";3.34599117619891e-05
65;"Morphology";"Compactness 1";"case_3";0.000139221509766499
65;"Morphology";"Compactness 1";"case_4";0.000139221509766499
65;"Morphology";"Compactness 1";"case_5";0.000139221509766499
66;"Morphology";"Compactness 2";"case_1";0.000800164165035125
66;"Morphology";"Compactness 2";"case_2";0.000769640796951149
66;"Morphology";"Compactness 2";"case_3";0.00344481051316892
66;"Morphology";"Compactness 2";"case_4";0.00344481051316892
66;"Morphology";"Compactness 2";"case_5";0.00344481051316892
67;"Morphology";"Spherical disproportion";"case_1";0.000998853291430568
67;"Morphology";"Spherical disproportion";"case_2";0.000958036557612607
67;"Morphology";"Spherical disproportion";"case_3";0.0035336031178605
67;"Morphology";"Spherical disproportion";"case_4";0.0035336031178605
67;"Morphology";"Spherical disproportion";"case_5";0.0035336031178605
68;"Morphology";"Sphericity";"case_1";0.000516136826475205
68;"Morphology";"Sphericity";"case_2";0.000495747694123877
68;"Morphology";"Sphericity";"case_3";0.00201337668619494
68;"Morphology";"Sphericity";"case_4";0.00201337668619494
68;"Morphology";"Sphericity";"case_5";0.00201337668619494
69;"Morphology";"Asphericity";"case_1";0.000998853291430568
69;"Morphology";"Asphericity";"case_2";0.000958036557612602
69;"Morphology";"Asphericity";"case_3";0.00353360311786049
69;"Morphology";"Asphericity";"case_4";0.00353360311786049
69;"Morphology";"Asphericity";"case_5";0.00353360311786049
70;"Morphology";"Centre of mass shift";"case_1";28.176717952639
70;"Morphology";"Centre of mass shift";"case_2";28.9326481519706
70;"Morphology";"Centre of mass shift";"case_3";2.58800890686439
70;"Morphology";"Centre of mass shift";"case_4";3.95694138159163
70;"Morphology";"Centre of mass shift";"case_5";1.05842551545389
71;"Morphology";"Maximum 3D diameter";"case_1";0.25262633588552
71;"Morphology";"Maximum 3D diameter";"case_2";0.25262633588552
71;"Morphology";"Maximum 3D diameter";"case_3";0.292168691060431
71;"Morphology";"Maximum 3D diameter";"case_4";0.292168691060431
71;"Morphology";"Maximum 3D diameter";"case_5";0.292168691060431
72;"Morphology";"Major axis length";"case_1";0.288701926961508
72;"Morphology";"Major axis length";"case_2";0.288994411880941
72;"Morphology";"Major axis length";"case_3";0.402496384447014
72;"Morphology";"Major axis length";"case_4";0.402496384447014
72;"Morphology";"Major axis length";"case_5";0.402496384447014
73;"Morphology";"Minor axis length";"case_1";0.332380579241673
73;"Morphology";"Minor axis length";"case_2";0.332375940856294
73;"Morphology";"Minor axis length";"case_3";0.391282386074361
73;"Morphology";"Minor axis length";"case_4";0.391282386074361
73;"Morphology";"Minor axis length";"case_5";0.391282386074361
74;"Morphology";"Least axis length";"case_1";0.157909198094087
74;"Morphology";"Least axis length";"case_2";0.157953274704519
74;"Morphology";"Least axis length";"case_3";0.354304721233754
74;"Morphology";"Least axis length";"case_4";0.354304721233754
74;"Morphology";"Least axis length";"case_5";0.354304721233754
75;"Morphology";"Elongation";"case_1";0.000771453917034565
75;"Morphology";"Elongation";"case_2";0.000771453917034565
75;"Morphology";"Elongation";"case_3";0.000334141640771979
75;"Morphology";"Elongation";"case_4";0.000334141640771979
75;"Morphology";"Elongation";"case_5";0.000334141640771979
76;"Morphology";"Flatness";"case_1";0.00060323833388834
76;"Morphology";"Flatness";"case_2";0.000600948221314362
76;"Morphology";"Flatness";"case_3";0.000450603649038278
76;"Morphology";"Flatness";"case_4";0.000450603649038278
76;"Morphology";"Flatness";"case_5";0.000450603649038278
77;"Morphology";"Volume density-AABB";"case_1";0.00202032471045368
77;"Morphology";"Volume density-AABB";"case_2";0.00200854540637305
77;"Morphology";"Volume density-AABB";"case_3";0.00228170703535876
77;"Morphology";"Volume density-AABB";"case_4";0.00228170703535876
77;"Morphology";"Volume density-AABB";"case_5";0.00228170703535876
78;"Morphology";"Area density-AABB";"case_1";0.00232950147270712
78;"Morphology";"Area density-AABB";"case_2";0.00229997809493373
78;"Morphology";"Area density-AABB";"case_3";0.0019955467936614
78;"Morphology";"Area density-AABB";"case_4";0.0019955467936614
78;"Morphology";"Area density-AABB";"case_5";0.0019955467936614
79;"Morphology";"Volume density-OMBB";"case_1";0.000833560248837875
79;"Morphology";"Volume density-OMBB";"case_2";0.000833520844455823
79;"Morphology";"Volume density-OMBB";"case_3";0.000539030834277257
79;"Morphology";"Volume density-OMBB";"case_4";0.000539030834277257
79;"Morphology";"Volume density-OMBB";"case_5";0.000539030834277257
